compte,url,date_envoi,mission,ca_total,probabilite,ca_pondere
Nexity,https://pilotage.airmis.com/admin/bt/pipebt/5889,,Accompagnement - Smartcity/Smartbuilding - Crosscut - Moskitos,10,0.2,2
AXA France,https://pilotage.airmis.com/admin/bt/pipebt/5549,,Accompagnement Architecture,0,0.2,0
Valeo,https://pilotage.airmis.com/admin/bt/pipebt/6033,,Accompagnement CyberSecurité,10,0.2,2
Altarea Cogedim,https://pilotage.airmis.com/admin/bt/pipebt/5507,,Accompagnement DPO,30,0.2,6
Altarea Cogedim,https://pilotage.airmis.com/admin/bt/pipebt/5509,,Altarea - Direction de Projet Web,130,0.4,52
Barclays,https://pilotage.airmis.com/admin/bt/pipebt/5570,,Analyse Solution SAB Crédit,10,0.2,2
SNCF Groupe,https://pilotage.airmis.com/admin/bt/pipebt/5962,,API Management,50,0.2,10
Altarea Cogedim,https://pilotage.airmis.com/admin/bt/pipebt/5510,,Approche et Parcours Client de bout en bout,50,0.4,20
Chanel,https://pilotage.airmis.com/admin/bt/pipebt/5615,,Appui au projet DMP,30,0.2,6
XXX,https://pilotage.airmis.com/admin/bt/pipebt/6042,,Audit Cartes SIMM,160,0.4,64
SUEZ RV,https://pilotage.airmis.com/admin/bt/pipebt/6006,,Cadrage SI Client,100,0.2,20
Akiem,https://pilotage.airmis.com/admin/bt/pipebt/5503,,CDP Technique transformation SI,32,0.4,13
LBP,https://pilotage.airmis.com/admin/bt/pipebt/5810,,CdS - CTRA - accompagnement Trait d'Union,10,0.2,2
Chanel,https://pilotage.airmis.com/admin/bt/pipebt/5623,,CHANEL - Appui équipe Digitale Mode - Mlle Privée,6,0.4,2
Chanel,https://pilotage.airmis.com/admin/bt/pipebt/5625,2017-05-18 00:00:00,CHANEL - Appui équipe IT Mode - Elite,14,0.4,6
Chanel,https://pilotage.airmis.com/admin/bt/pipebt/5627,2017-02-24 00:00:00,CHANEL - Appui équipe IT P&B,30,0.4,12
Crédit Agricole Technologies et Services,https://pilotage.airmis.com/admin/bt/pipebt/5655,,Coaching agile,10,0.2,2
Unibail-Rodamco,https://pilotage.airmis.com/admin/bt/pipebt/6032,2017-09-18 00:00:00,Coaching prise de poste DSI,10,0.4,4
Nexity,https://pilotage.airmis.com/admin/bt/pipebt/5901,,Définition Roadmap - Smartcity/Smartbuilding (approche design),20,0.2,4
GRDF,https://pilotage.airmis.com/admin/bt/pipebt/5765,2017-04-15 00:00:00,IIF - POC Blockchain,50,0.2,10
Verspieren,https://pilotage.airmis.com/admin/bt/pipebt/6035,,IIF - Refonte postures de travail (poste de travail & locaux),20,0.2,4
Nexity,https://pilotage.airmis.com/admin/bt/pipebt/5905,,Nouveaux espaces de travail,10,0.2,2
Altarea Cogedim,https://pilotage.airmis.com/admin/bt/pipebt/5513,,"O365 - Gestion des Identités, Sécurité",50,0.4,20
TF1 Groupe,https://pilotage.airmis.com/admin/bt/pipebt/6014,,Pilotage financier DSI,20,0.2,4
Barclays,https://pilotage.airmis.com/admin/bt/pipebt/5571,,Pilotage Stratégique Changement CBS,10,0.2,2
OGC Nice,https://pilotage.airmis.com/admin/bt/pipebt/5910,,Relation strat-up,50,0.2,10
Futuroscope,https://pilotage.airmis.com/admin/bt/pipebt/5724,,Roadmap Digital & Innovation,20,0.2,4
Valeo,https://pilotage.airmis.com/admin/bt/pipebt/6034,,Sensibilisation TOGAF,10,0.2,2
SNCF Mobilité,https://pilotage.airmis.com/admin/bt/pipebt/5968,,SNCF Voyage : PTF HA groupés -extension pilotage data,20,0.4,8
Altarea Cogedim,https://pilotage.airmis.com/admin/bt/pipebt/5514,,Social Selling,40,0.4,16
SNCF Mobilité,https://pilotage.airmis.com/admin/bt/pipebt/5969,,Transilien : UX de l'attente,10,0.2,2
