COMPTE,SUJET,ENTITE__APPORTEUR,LEAD__RESP,ASSOCIE,STEP,PROB,SELL_ON,CODE_TOTEM,CA_BT__N__KE,CA_SST_INTERNE__N__KE,CA_SST_EXTERNE__N__KE,CA_MARKUP__N__KE,DONT_PCA__N_MOINS_1___KE,CA__N_PLUS_1___KE,COMMENTAIRES,DATE_DE_DEBUT_PREVUE_MISSION,OFFRE_PRINCIPALE,SECTEUR,GROUPE,TOTAL_CA_VENDU_N__KE,CA_BT_PONDERE__N__KE,D_QUALIF,D_DEBUT_REDACT°_PROPALE,D_ENVOI__PROPALE,D_GAIN,D_CLOTURE__PERTE,WEEK,DATE_REF
Accor,Stratégie Infrastructure Cloud,WBT,----,OGR,0 - A qualifier,0.2,Oui,NA,10.0,NA,NA,NA,NA,NA,OGR - Doc émis 12/10,2017-01-01T00:00:00Z,ETM,Service,Accor,10.0,2.0,NA,2016-12-20T00:00:00Z,NA,NA,2016-09-23T00:00:00Z,1.0,2017-01-01
Adeo,IIF - Cadrage maturité digitale collaborateurs,WBT,MLA,MMO,3 - Emise,0.4,Non,NA,250.0,NA,NA,NA,NA,NA, 4 sociétés consultées ; Décision reportée à fin Janvier / Début Février suite à changement de configuration projet,2017-02-15T00:00:00Z,Digital Innovation,Service,Adeo,250.0,100.0,NA,2016-10-11T00:00:00Z,2016-11-15T00:00:00Z,NA,NA,1.0,2017-01-01
Advitam,Schéma Directeur Numérique,WBT,JDO,BES,4 - Gagnée,1.0,Non,ADVI001,102.564,NA,NA,NA,NA,NA,NA,2017-01-01T00:00:00Z,Data,Industrie & services,Advitam,102.564,102.564,NA,2016-03-24T00:00:00Z,2016-04-04T00:00:00Z,2016-06-21T00:00:00Z,NA,1.0,2017-01-01
Advitam,Pilotage de la transformation numérique,WBT,JDO,BES,2 - A émettre,0.6,Oui,ADVI001,200.0,NA,NA,NA,NA,NA,NA,2017-03-01T00:00:00Z,Data,Industrie & services,Avitam,200.0,120.0,NA,2016-11-22T00:00:00Z,NA,NA,NA,1.0,2017-01-01
AG2R,Datalab avec Quinten,WBT,JDO,BES,2 - A émettre,0.6,Non,NA,50.0,NA,NA,NA,NA,NA,"Début de mission en février, confirmation 2eme quinzaine de janvier",2017-01-01T00:00:00Z,Data,Assurance,AG2R,50.0,30.0,NA,2016-11-22T00:00:00Z,NA,NA,NA,1.0,2017-01-01
Ag2R,Priorités de la Direction de l'innovation ,Airmis,MLA,MMO,3 - Emise,0.4,Non,NA,25.0,NA,NA,NA,NA,NA,Report à Janvier suite à l'arrivée d'un nouveau Directeur Digital et Innovation,2017-02-01T00:00:00Z,Digital Innovation,Assurance,AG2R,25.0,10.0,NA,NA,2016-12-02T00:00:00Z,NA,NA,1.0,2017-01-01
Akiem,Refonte processus  & SI Akiem (sell on),WIES,MSU,OGR,3 - Emise,0.4,Oui,NA,10.0,NA,NA,NA,NA,NA,Closing 2016 : RDV soutenance like le 16/11 par IES,2017-01-01T00:00:00Z,ETM,Para-public,SNCF,10.0,4.0,2016-04-07T00:00:00Z,2016-04-07T00:00:00Z,2016-11-16T00:00:00Z,2016-06-09T00:00:00Z,NA,1.0,2017-01-01
Akiem,CDP Technique transformation SI,WIES,MLO,OGR,0 - A qualifier,0.4,Oui,WM/AKIXXX,32.0,NA,NA,NA,NA,NA,"Sell on mission schéma directeur IT, besoin accompagnement CDP technique / architecte en binome avec un CDP métier coté IES",2017-01-01T00:00:00Z,ETM,Para-public,SNCF,32.0,12.8,NA,NA,NA,NA,NA,1.0,2017-01-01
Altarea,Audit SI ,WBT,----,JSO,0 - A qualifier,0.2,Oui,NA,50.0,NA,NA,NA,NA,NA,NA,2017-01-01T00:00:00Z,ETM,Industrie & services,Altarea,50.0,10.0,2016-10-07T00:00:00Z,NA,NA,NA,NA,1.0,2017-01-01
Altarea,Transformation digitale,WBT,MLA,JSO/MMO,3 - Emise,0.4,Oui,NA,120.0,NA,NA,NA,NA,NA,Processus de décision lent et évolution du besoin client par rapport à la demande initale ; Report à 2017,2017-01-15T00:00:00Z,Digital Innovation,Industrie & services,Altarea,120.0,48.0,2016-11-04T00:00:00Z,2016-11-07T00:00:00Z,2016-11-14T00:00:00Z,NA,NA,1.0,2017-01-01
Aperam,Coaching cellule architecture - T1 2017,WIES,JPG,OGR,2 - A émettre,0.6,Non,NA,100.0,NA,NA,NA,NA,NA,NA,2017-01-01T00:00:00Z,ETM,Industrie & services,ArcelorMittal,100.0,60.0,NA,2016-12-12T00:00:00Z,NA,NA,NA,1.0,2017-01-01
AXA Banque,Mise en place roadmap digitale (T1 2017),WBT,MBO,MMO,1 - Qualifiée,0.6,Non,NA,50.0,NA,NA,NA,NA,NA,NA,2017-01-01T00:00:00Z,Digital Innovation,Banque,AXA,50.0,30.0,2016-12-09T00:00:00Z,NA,NA,NA,NA,1.0,2017-01-01
